fuel,region,per_capita_fuel_cons,per_capita_fuel_cons_units
biogas,,0.12,tons/person-year
charcoal,ssa,0.16,tons/person-year
charcoal,east_asia,0.18,tons/person-year
charcoal,south_asia,0.13,tons/person-year
charcoal,latam,0.16,tons/person-year
charcoal,other,0.16,tons/person-year
coal,,0.246,tons/person-year
electric,,0.043,MWh/person-year
ethanol,,0.075,tons/person-year
fuelwood,ssa,0.4,oven-dry tons/person-year
fuelwood,east_asia,0.35,oven-dry tons/person-year
fuelwood,south_asia,0.4,oven-dry tons/person-year
fuelwood,latam,1.1,oven-dry tons/person-year
fuelwood,other,0.62,oven-dry tons/person-year
gas,,0.048,tons/person-year
imp_charcoal,ssa,0.08,tons/person-year
imp_charcoal,east_asia,0.09,tons/person-year
imp_charcoal,south_asia,0.065,tons/person-year
imp_charcoal,latam,0.08,tons/person-year
imp_charcoal,other,0.08,tons/person-year
imp_fuelwood,ssa,0.2,oven-dry tons/person-year
imp_fuelwood,east_asia,0.175,oven-dry tons/person-year
imp_fuelwood,south_asia,0.2,oven-dry tons/person-year
imp_fuelwood,latam,0.55,oven-dry tons/person-year
imp_fuelwood,other,0.31,oven-dry tons/person-year
kerosene,,0.05,tons/person-year
pellets,,0.12,tons/person-year
